человек,челове'к,"person, people; man","Mensch, Person; Mann; Diener, Diensbote, Lakei, Kellner",m,,1,0,0,0,челове'к,челове'ка,челове'ку,челове'ка,челове'ком,челове'ке,лю'ди,люде'й,лю'дям,люде'й,людьми',лю'дях
год,год,year,Jahr,m,,0,0,0,0,го'д,го'да,го'ду,го'д,го'дом,году',лета',ле'т,лета'м,лета',лета'ми,лета'х
время,вре'мя,"time, times, tense",Zeit,n,,0,0,0,0,вре'мя,вре'мени,вре'мени,вре'мя,вре'менем,вре'мени,времена',времён,времена'м,времена',времена'ми,времена'х
рука,рука',hand; arm; handwriting,Hand; Arm,f,,0,0,0,0,рука',руки',руке',ру'ку,руко'й,руке',ру'ки,ру'к,рука'м,ру'ки,рука'ми,рука'х
стать,стать,"figure; character, type; points of a horse; need, necessity","Anlass, Grund; Sinn, Gebühr, geziemendes Verhalten",f,,0,0,0,0,ста'ть,ста'ти,ста'ти,ста'ть,ста'тью,ста'ти,ста'ти,ста'тей,ста'тям,ста'ти,ста'тями,ста'тях
дело,де'ло,business; matter,"Sache, Angelegenheit, Geschäft; Tat, Handlung, Arbeit; Fall, Akte, Verfahren",n,,0,0,0,0,де'ло,де'ла,де'лу,де'ло,де'лом,де'ле,дела',де'л,дела'м,дела',дела'ми,дела'х
раз,раз,time; one; once,"Mal, mal, eins, wenn, da",m,,0,0,0,0,раз,"ра'за, ра'зу",ра'зу,раз,ра'зом,ра'зе,разы',раз,раза'м,разы',раза'ми,раза'х
глаз,глаз,eye,Auge,m,,0,0,0,0,гла'з,гла'за,гла'зу,гла'з,гла'зом,гла'зе,глаза',гла'з,глаза'м,глаза',глаза'ми,глаза'х
день,день,"day, afternoon",Tag,m,,0,0,0,0,день,дня,дню,день,днём,дне,дни,дне'й,дня'м,дни,дня'ми,днях
жизнь,жизнь,"life, existence",Leben,f,,0,0,0,0,жи'знь,жи'зни,жи'зни,жи'знь,жи'знью,жи'зни,жи'зни,жи'зней,жи'зням,жи'зни,жи'знями,жи'знях
тут,тут,mulberry fruit; mulberry tree,Maulbeerbaum,m,,0,0,0,0,ту'т,ту'та,ту'ту,ту'т,ту'том,ту'те,ту'ты,ту'тов,ту'там,ту'ты,ту'тами,ту'тах
голова,голова',"head, mind, brains, chief, master","Kopf, Köpfchen (Gehirn, Gedanken, Verstand); Haupt, Oberhaupt",f,,0,0,0,0,голова',головы',голове',го'лову,голово'й,голове',го'ловы,голо'в,голова'м,го'ловы,голова'ми,голова'х
друг,друг,friend,Freund,m,,1,0,0,0,друг,дру'га,дру'гу,дру'га,дру'гом,дру'ге,друзья',друзе'й,друзья'м,друзе'й,друзья'ми,друзья'х
дом,дом,"house, home, house-hold","Haus, Gebäude, Zuhause, Heim",m,,0,0,0,0,до'м,до'ма,до'му,до'м,до'мом,до'ме,дома',домо'в,дома'м,дома',дома'ми,дома'х
слово,сло'во,word; speech,"Wort, Vokabel; Rede, Ansprache; Versprechen",n,,0,0,0,0,сло'во,сло'ва,сло'ву,сло'во,сло'вом,сло'ве,слова',сло'в,слова'м,слова',слова'ми,слова'х
место,ме'сто,"place, spot, site, locality; region, area; site, scene; room, space; job, position; piece of luggage","Platz, Ort, Stelle; Sitzplatz, Koje; Gepäckstück",n,,0,0,0,0,ме'сто,ме'ста,ме'сту,ме'сто,ме'стом,ме'сте,места',ме'ст,места'м,места',места'ми,места'х
лицо,лицо',"face, the right side, person","Gesicht; Person; Profil, Image",n,,0,0,0,0,лицо',лица',лицу',лицо',лицо'м,лице',ли'ца,ли'ц,ли'цам,ли'ца,ли'цами,ли'цах
сторона,сторона',side,"Seite, Richtung, Aspekt; Partei",f,,0,0,0,0,сторона',стороны',стороне',сто'рону,"стороно'й, стороно'ю",стороне',сто'роны,сторо'н,сторона'м,сто'роны,сторона'ми,сторона'х
нога,нога',leg,"Fuß, Bein",f,,0,0,0,0,нога',ноги',ноге',но'гу,"ного'й,     ного'ю",ноге',но'ги,ног,нога'м,но'ги,нога'ми,нога'х
работа,рабо'та,"work, working, job","Arbeit, Werk (eines Künstlers etc.)",f,,0,0,0,0,рабо'та,рабо'ты,рабо'те,рабо'ту,"рабо'той,  рабо'тою",рабо'те,рабо'ты,рабо'т,рабо'там,рабо'ты,рабо'тами,рабо'тах
конец,коне'ц,"end, ending","Ende, Schluss",m,,0,0,0,0,коне'ц,конца',концу',коне'ц,концо'м,конце',концы',концо'в,конца'м,концы',конца'ми,конца'х
город,го'род,town,Stadt,m,,0,0,0,0,го'род,го'рода,го'роду,го'род,го'родом,го'роде,города',городо'в,города'м,города',города'ми,города'х
голос,го'лос,"voice, part, vote",Stimme,m,,0,0,0,0,го'лос,"го'лоса, го'лосу",го'лосу,го'лос,го'лосом,го'лосе,голоса',голосо'в,голоса'м,голоса',голоса'ми,голоса'х
час,час,"hour, time, hours",Stunde; Uhr(zeit),m,,0,0,0,0,ча'с,"ча'са,    часа'",ча'су,ча'с,ча'сом,"часу', ча'се",часы',часо'в,часа'м,часы',часа'ми,часа'х
уж,уж,grass snake,"Natter, Schlange",m,,1,0,0,0,у'ж,ужа',ужу',ужа',ужо'м,уже',ужи',уже'й,ужа'м,уже'й,ужа'ми,ужа'х
земля,земля',"earth, ground, the Earth, land, soil","Erde; Festland, Land, Boden; Bundesland",f,,0,0,0,0,земля',земли',земле',зе'млю,"землёй, землёю",земле',зе'мли,земе'ль,зе'млям,зе'мли,зе'млями,зе'млях
сила,си'ла,power,Kraft / Stärke; Macht / Gewalt,f,,0,0,0,0,си'ла,си'лы,си'ле,си'лу,"си'лой, си'лою",си'ле,си'лы,си'л,си'лам,си'лы,си'лами,си'лах
вода,вода',water,Wasser,f,,0,0,0,0,вода',воды',воде',во'ду,"водо'й,  водо'ю",воде',во'ды,во'д,во'дам,во'ды,во'дами,во'дах
случай,слу'чай,"case, occasion, chance, opportunity, event, incident, occurrence","Anlaß, Ereignis, Erlebnis, Gelegenheit; Vorfall, Fall, Zwischenfall; Zufall, Begebenheit",m,,0,0,0,0,слу'чай,слу'чая,слу'чаю,слу'чай,слу'чаем,слу'чае,слу'чаи,слу'чаев,слу'чаям,слу'чаи,слу'чаями,слу'чаях
стол,стол,"table, desk, board; diet, cooking, cuisine; department, section","Tisch, Tafel; Essen, Kost; Büro, Abteilung",m,,0,0,0,0,сто'л,стола',столу',сто'л,столо'м,столе',столы',столо'в,стола'м,столы',стола'ми,стола'х
машина,маши'на,"car; machine, machinery, engine, mechanism",Auto; Maschine,f,,0,0,0,0,маши'на,маши'ны,маши'не,маши'ну,"маши'ной, маши'ною",маши'не,маши'ны,маши'н,маши'нам,маши'ны,маши'нами,маши'нах
мир,мир,world; peace,"Welt, Erde; Frieden",m,,0,0,0,0,мир,ми'ра,ми'ру,мир,ми'ром,ми'ре,миры',миро'в,мира'м,миры',мира'ми,мира'х
ночь,ночь,night,Nacht,f,,0,0,0,0,но'чь,но'чи,но'чи,но'чь,но'чью,но'чи,но'чи,ноче'й,ноча'м,но'чи,ноча'ми,ноча'х
